No.,시설물 명칭,시설물 일련번호,공사명,공사 대상 부재(또는 시설물),설계 예상시작일(yyyymmdd),설계 예상종료일(yyyymmdd),공사 예상 시작일(yyyymmdd),공사 예상종료일(yyyymmdd),공사금액(백만원),"첨부자료(설계도면, 설계내역서, 공정표 등)",비고
613,7178 대림역사,BA060000244,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
614,7180 남구로역사,BA060000245,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
615,7182 가산디지털단지,BA060000246,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
616,7184 철산역사,BA060000247,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
617,7186 광명사거리역사,BA060000248,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
618,7188 천왕역사,BA060000249,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
619,7194 온수역사,BA060000250,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
620,7197 까치울역사,BA060000251,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
621,7199 부천종합운동장역사,BA060000252,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
622,7201 춘의역사,BA060000253,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
623,7203 신중동역사,BA060000254,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
624,7205 부천시청역사,BA060000255,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
625,7207 상동역사,BA060000256,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
626,7209 삼산체육관역사,BA060000257,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
627,7211 굴포천역사,BA060000258,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
628,7213 부평구청역사,BA060000259,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
629,8102 암사역사,BA060000260,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
630,8104 천호역사,BA060000261,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
631,8106 강동구청역사,BA060000262,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
632,8108 몽촌토성역사,BA060000263,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
633,8110 잠실역사,BA060000264,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
634,8112 석촌역사,BA060000265,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
635,8114 송파역사,BA060000266,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
636,8116 가락시장역사,BA060000267,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
637,8118 문정역사,BA060000268,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
638,8120 장지역사,BA060000269,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
639,8122 복정역사,BA060000270,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
640,8126 산성역사,BA060000271,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
641,8128 남한산성입구역사,BA060000272,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
642,8130 단대오거리역사,BA060000273,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
643,8132 신흥역사,BA060000274,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
644,8134 수진역사,BA060000275,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
645,8136 모란역사,BA060000276,환기구 관리 표지판(통일시안) 설치,환기구 관리 표지판,,,20200201,20200630,280000,,
646,1-002 서울역,BA060000001,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
647,1-004 시청역,BA060000002,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
648,1-006 종각역,BA060000003,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
649,1-008 종로3가역,BA060000004,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
650,1-010 종로5가역,BA060000005,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
651,1-012 동대문역,BA060000006,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
652,1-014 신설동역,BA060000007,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
653,1-016 제기동역,BA060000008,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
654,1-018 청량리역,BA060000009,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
655,1-020 동묘앞역,BA060000010,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
656,2-001 시청역(2),BA060000011,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
657,2-003 을지로입구역,BA060000012,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
658,2-005 을지로3가역,BA060000013,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
659,2-007 을지로4가역,BA060000014,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
660,2-009 동대문역사문화공원역,BA060000015,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
661,2-011 신당역,BA060000016,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
662,2-013 상왕십리역,BA060000017,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
663,2-015 왕십리역,BA060000018,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
664,2-017 한양대역,BA060000019,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
665,2-019 뚝섬역,BA060000020,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
666,2-021 성수역,BA060000021,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
667,2-023 건대입구역,BA060000022,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
668,2-025 구의역,BA060000023,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
669,2-027 강변역,BA060000024,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
670,2-030 잠실나루역,BA060000025,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
671,2-032 잠실역,BA060000026,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
672,2-034 잠실새내역(신천역),BA060000027,환기구 정비공사,환기구,,,20200102,20241231,9360000,,
673,2-036 종합운동장역,BA060000028,환기구 정비공사,환기구,,,20200102,20241231,9264000,,
674,2-038 삼성역,BA060000029,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
675,2-040 선릉역,BA060000030,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
676,2-042 역삼역,BA060000031,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
677,2-044 강남역,BA060000032,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
678,2-046 교대역,BA060000033,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
679,2-048 서초역,BA060000034,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
680,2-050 방배역,BA060000035,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
681,2-052 사당역,BA060000036,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
682,2-054 낙성대역,BA060000037,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
683,2-056 서울대입구역,BA060000038,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
684,2-058 봉천역,BA060000039,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
685,2-060 신림역,BA060000040,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
686,2-062 신대방역,BA060000041,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
687,2-064 구로디지털단지역,BA060000042,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
688,2-067 대림역,BA060000043,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
689,2-069 신도림역(2),BA060000044,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
690,2-071 문래역,BA060000045,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
691,2-073 영등포구청역,BA060000046,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
692,2-075 당산역,BA060000047,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
693,2-078 합정역,BA060000048,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
694,2-080 홍대입구역,BA060000049,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
695,2-082 신촌역,BA060000050,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
696,2-084 이대역,BA060000051,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
697,2-086 아현역,BA060000052,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
698,2-088 충정로역,BA060000053,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
699,2-091 신설동역(2),BA060000054,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
700,2-094 신답역,BA060000055,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
701,2-095 용답역,BA060000056,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
702,2-099 도림천역,BA060000057,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
703,2-102 양천구청역,BA060000058,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
704,2-104 신정네거리역,BA060000059,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
705,2-106 용두역,BA060000060,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
706,3-003 지축역,BA060000061,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
707,3-005 구파발역,BA060000062,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
708,3-007 연신내역,BA060000063,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
709,3-009 불광역,BA060000064,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
710,3-011 녹번역,BA060000065,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
711,3-013 홍제역,BA060000066,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
712,3-015 무악재역,BA060000067,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
713,3-017 독립문역,BA060000068,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
714,3-019 경복궁역,BA060000069,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
715,3-021 안국역,BA060000070,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
716,3-023 종로3가역(3),BA060000071,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
717,3-025 을지로3가역(3),BA060000072,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
718,3-029 동대입구역,BA060000073,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
719,3-031 약수역,BA060000074,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
720,3-033 금호역,BA060000075,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
721,3-035 옥수역,BA060000076,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
722,3-037 압구정역,BA060000077,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
723,3-039 신사역,BA060000078,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
724,3-041 잠원역,BA060000079,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
725,3-043 고속터미널역,BA060000080,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
726,3-045 교대역(3),BA060000081,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
727,3-047 남부터미널역,BA060000082,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
728,3-049 양재역,BA060000083,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
729,3-051 매봉역,BA060000084,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
730,3-053 도곡역,BA060000085,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
731,3-055 대치역,BA060000086,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
732,3-057 학여울역,BA060000087,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
733,3-059 대청역,BA060000088,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
734,3-061 일원역,BA060000089,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
735,3-063 수서역,BA060000090,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
736,3-066 가락시장역,BA060000091,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
737,3-068 경찰병원역,BA060000092,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
738,3-070 오금역,BA060000093,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
739,4-002 당고개역,BA060000094,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
740,4-004 상계역,BA060000095,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
741,4-006 노원역,BA060000096,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
742,4-008 창동역,BA060000098,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
743,4-012 쌍문역,BA060000097,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
744,4-014 수유역,BA060000099,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
745,4-016 미아역,BA060000100,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
746,4-018 미아사거리역,BA060000101,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
747,4-020 길음역,BA060000102,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
748,4-022 성신여대입구역,BA060000103,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
749,4-024 한성대입구역,BA060000104,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
750,4-026 혜화역,BA060000105,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
751,4-028 동대문역(4),BA060000106,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
752,4-030 동대문역사문화공원역(4),BA060000107,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
753,4-032 충무로역,BA060000108,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
754,4-034 명동역,BA060000109,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
755,4-036 회현역,BA060000110,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
756,4-038 서울역(4),BA060000111,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
757,4-040 숙대입구역,BA060000112,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
758,4-042 삼각지역,BA060000113,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
759,4-044 신용산역,BA060000114,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
760,4-046 이촌역,BA060000115,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
761,4-048 동작역,BA060000116,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
762,4-051 총신대입구역,BA060000117,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
763,4-053 사당역(4),BA060000118,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
764,4-055 남태령역,BA060000119,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
765,5102 방화역사,BA060000120,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
766,5104 개화산역사,BA060000121,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
767,5106 김포공항역사,BA060000122,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
768,5108 송정역사,BA060000123,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
769,5110 마곡역사,BA060000124,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
770,5112 발산역사,BA060000125,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
771,5114 우장산역사,BA060000126,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
772,5116 화곡역사,BA060000127,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
773,5118 까치산역사,BA060000128,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
774,5120 신정역사,BA060000129,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
775,5122 목동역사,BA060000130,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
776,5124 오목교역사,BA060000131,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
777,5126 양평역사,BA060000132,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
778,5128 영등포구청역사,BA060000133,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
779,5130 영등포시장역사,BA060000134,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
780,5132 신길역사,BA060000135,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
781,5134 여의도역사,BA060000136,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
782,5136 여의나루역사,BA060000137,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
783,5138 마포역사,BA060000138,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
784,5140 공덕역사,BA060000139,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
785,5142 애오개역사,BA060000140,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
786,5144 충정로역사,BA060000141,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
787,5146 서대문역사,BA060000142,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
788,5148 광화문역사,BA060000143,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
789,5150 종로3가역사,BA060000144,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
790,5152 을지로4가역사,BA060000145,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
791,5154 동대문역사문화공원역사,BA060000146,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
792,5156 청구역사,BA060000147,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
793,5158 신금호역사,BA060000148,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
794,5160 행당역사,BA060000149,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
795,5162 왕십리역사,BA060000150,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
796,5164 마장역사,BA060000151,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
797,5166 답십리역사,BA060000152,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
798,5168 장한평역사,BA060000153,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
799,5170 군자역사,BA060000154,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
800,5172 아차산역사,BA060000155,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
801,5174 광나루역사,BA060000156,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
802,5176 천호역사,BA060000157,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
803,5178 강동역사,BA060000158,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
804,5180 길동역사,BA060000159,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
805,5182 굽은다리역사,BA060000160,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
806,5184 명일역사,BA060000161,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
807,5186 고덕역사,BA060000162,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
808,5188 상일동역사,BA060000163,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
809,5193 둔촌동역사,BA060000164,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
810,5196 올림픽공원역사,BA060000165,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
811,5198 방이역사,BA060000166,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
812,5200 오금역사,BA060000167,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
813,5202 개롱역사,BA060000168,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
814,5204 거여역사,BA060000169,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
815,5206 마천역사,BA060000170,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
816,6102 역촌역사,BA060000171,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
817,6104 불광역사,BA060000172,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
818,6106 독바위역사,BA060000173,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
819,6108 연신내역사,BA060000174,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
820,6110 구산역사,BA060000175,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
821,6112 응암역사,BA060000176,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
822,6114 새절역사,BA060000177,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
823,6116 증산역사,BA060000178,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
824,6118 DMC역사(디지털미디어시티역),BA060000179,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
825,6120 월드컵경기장역사,BA060000180,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
826,6122 마포구청역사,BA060000181,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
827,6124 망원역사,BA060000182,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
828,6126 합정역사,BA060000183,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
829,6128 상수역사,BA060000184,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
830,6130 광흥창역사,BA060000185,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
831,6132 대흥역사,BA060000186,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
832,6134 공덕역사,BA060000187,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
833,6136 효창공원앞역사,BA060000188,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
834,6138 삼각지역사,BA060000189,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
835,6140 녹사평역사,BA060000190,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
836,6142 이태원역사,BA060000191,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
837,6144 한강진역사,BA060000192,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
838,6146 버티고개역사,BA060000193,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
839,6148 약수역사,BA060000194,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
840,6150 청구역사,BA060000195,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
841,6152 신당역사,BA060000196,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
842,6154 동묘앞역사,BA060000197,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
843,6156 창신역사,BA060000198,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
844,6158 보문역사,BA060000199,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
845,6160 안암역사,BA060000200,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
846,6162 고려대역사,BA060000201,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
847,6164 월곡역사,BA060000202,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
848,6166 상월곡역사,BA060000203,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
849,6168 돌곶이역사,BA060000204,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
850,6170 석계역사,BA060000205,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
851,6172 태릉입구역사,BA060000206,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
852,6174 화랑대역사,BA060000207,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
853,6177 봉화산역사,BA060000208,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
854,7101 장암역사,BA060000209,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
855,7107 도봉산역사,BA060000210,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
856,7110 수락산역사,BA060000211,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
857,7112 마들역사,BA060000212,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
858,7114 노원역사,BA060000213,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
859,7116 중계역사,BA060000214,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
860,7118 하계역사,BA060000215,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
861,7120 공릉역사,BA060000216,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
862,7122 태릉입구역사,BA060000217,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
863,7124 먹골역사,BA060000218,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
864,7126 중화역사,BA060000219,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
865,7128 상봉역사,BA060000220,환기구 정비공사,환기구,,,20200102,20241231,9260000,,
